Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
516;4.21;2.91;9.46;56.78;0.63;3.52;0.84;3.04;3.6;0.99;0.03;0.21;13.65;73;219;81;38.07;21.07;1.66;8.02;0.36;0;24.03;6.79;95;-4.626534684;137.4092299
523;2.66;8.58;8.94;42.68;0.93;6.04;0.8;0.48;7.09;1.03;0.49;0.42;19.7;646;310;41;38.79;21.07;0.94;12;0.5;0;26.25;0.46;96;-4.6270144;137.4082877
526;4.21;3.82;15.69;50.74;0.91;5.7;0.87;0.65;8.03;0.83;0.07;0.18;8.24;27;121;50;38.79;21.07;0.94;12;0.5;0;26.25;0.46;97;-4.62705025;137.407881
531;2.86;8.31;9.23;43.15;1.01;6.94;0.94;0.63;6.91;1.01;0.41;0.41;18.07;499;376;50;38.79;21.07;0.94;12;0.5;0;26.25;0.46;98;-4.626550593;137.4072626
532;2.64;8.72;9.2;43.66;0.95;6.18;0.79;0.47;7.07;1.07;0.48;0.41;18.23;452;309;43;37.62;21.07;1.49;8.51;0.5;0;24.03;6.79;99;-4.626550593;137.4072626
537;2.45;8.6;7.43;39.66;0.88;7.34;1.24;1.01;5.72;1;0.38;0.55;23.44;385;1352;1017;34.54;21.07;1.92;6.07;0.5;0;23.22;12.68;100;-4.626590037;137.4070945
537;2.34;8.77;7.38;39.06;0.9;8.43;1.74;0.88;5.52;0.94;0.4;0.52;22.82;395;1067;733;34.32;21.44;2.14;5.3;0.31;0.12;22.81;13.57;101;-4.626590037;137.4070945
550;4.09;4.92;12.63;46.36;0.62;4.26;1.35;3.58;5.14;0.81;0.28;0.25;15.53;138;1057;90;34.02;21.15;2.21;5.2;0.31;0.12;22.11;14.88;102;-4.628888657;137.4015856
558;2.83;8.18;9.34;43.83;0.97;6.97;0.95;0.62;7.12;0.97;0.4;0.38;17.3;433;382;75;35.13;20.64;2.36;4.79;0.31;0.68;20.49;15.6;103;-4.631380563;137.4003337
560;4.08;4.03;8.55;45.42;0.67;3.21;0.64;1.47;3.67;0.67;0.05;0.31;27.15;194;232;183;35.49;21.15;2.36;4.56;0.22;0.68;19.94;15.6;104;-4.632302491;137.4005249
564;6.22;2.92;16.93;53.13;0.82;2.58;0.97;2.16;5.54;0.36;0.04;0.19;7.84;43;1409;89;34.65;21.61;2.45;4.05;0.02;0.87;19.94;16.4;105;-4.632514808;137.3997808
583;1.84;9.34;8.1;41.93;0.58;3.32;0.91;2.77;6.27;0.85;0.74;0.44;22.64;173;1820;197;35.43;21.61;2.6;3.69;0;0.87;18.5;17.3;106;-4.636386375;137.4021823
583;1.81;9.68;7.42;40.87;0.66;4.41;0.91;2.54;6.31;0.93;0.68;0.51;23.02;245;1819;188;35.95;21.24;2.6;3.65;0.02;1.16;17.54;17.84;107;-4.636386375;137.4021823
583;1.76;9.25;7.76;41.15;0.64;3.71;0.91;2.61;6.48;0.94;0.82;0.45;23.27;239;1744;179;34.81;21.24;2.86;3.51;0.02;1.36;17.4;18.79;108;-4.636386375;137.4021823
583;1.85;9.17;7.73;40.5;0.66;5.49;1.06;2.39;6.3;0.88;0.62;0.41;22.64;314;1802;153;33.75;21.24;3.14;2.42;0.08;1.71;17.04;20.63;109;-4.636386375;137.4021823
583;1.78;9.33;7.83;41.26;0.63;3.7;0.92;2.71;6.41;0.85;0.72;0.44;23.14;235;1906;112;34.23;20.33;3.77;0.73;0.19;1.87;16.68;22.2;110;-4.636386375;137.4021823
584;2.39;8.26;8.14;40.65;0.9;8.36;1.15;1.94;5.85;0.9;0.37;0.37;20.37;424;1468;808;33.18;21.24;3.14;1.71;0.08;1.9;16.68;22.06;111;-4.636386375;137.4021823
585;2.42;8.37;7.9;39.87;0.9;7.17;1.11;1.23;6.37;0.91;0.62;0.42;22.43;339;1343;619;31.99;21.91;2.72;2.67;0.02;1.95;16.68;22.06;112;-4.636386375;137.4021823
601;1.95;10.6;7.95;43.13;0.71;7.28;1.86;2.38;5.5;0.96;0.55;0.2;16.61;316;937;568;32.3;21.91;2.72;2.67;0;1.98;16.36;22.06;113;-4.638222825;137.4022681
