Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
145,758,43.67,17.33,8.69,10.11,5.3,7.65,2.37,1.04,1.02,0.65,0.88,0.34,0.33
146,759,50.73,19.49,9.96,4.42,3.88,3.85,2.7,1.21,1.07,0.9,0.34,0.38,0.38
147,762,51.26,18.89,10.58,4.07,4.06,3.62,2.97,1.13,1.2,0.85,0.3,0.36,0.36
148,767,45.94,15.29,9.18,11.01,4.09,7.1,2.6,0.97,0.66,0.8,0.69,0.32,0.21
149,767,49.43,20.21,9.75,4.73,4.08,4.5,2.64,1.17,1.03,0.92,0.35,0.38,0.37
150,774,46.19,16.12,9.24,9.94,4.38,6.9,2.52,0.92,1.08,0.74,0.62,0.34,0.35
151,774,47.48,16.08,9.46,8.77,4.36,6.63,2.49,1.02,1.14,0.73,0.65,0.3,0.31
152,774,48.65,16.19,9.77,7.64,4.35,6.2,2.55,1.06,1.07,0.7,0.6,0.37,0.34
153,774,48.12,16.41,9.68,8.34,4,6.13,2.6,0.89,1.06,0.78,0.53,0.37,0.35
154,779,45.4,15.88,9.21,10.51,4.41,7.29,2.49,1.02,1.09,0.71,0.64,0.34,0.32
155,781,48.13,19.83,9.73,4.86,4.58,5.55,2.65,1.13,1.02,0.98,0.41,0.39,0.37
156,801,42.89,20.77,9.06,4.62,7.01,8.91,2.67,1.05,0.85,0.44,0.62,0.47,0.44
157,802,43.43,19.78,9.04,5.21,6.97,8.81,2.71,0.99,0.92,0.47,0.7,0.39,0.42
158,805,45.04,19.25,9.37,6.68,5.01,7.41,2.47,1.11,0.94,0.78,0.94,0.31,0.53
159,805,47.54,15.7,9.98,7.07,5.05,7.2,2.64,1.15,0.98,0.79,0.89,0.32,0.33
160,805,51.61,16.59,10.55,4.93,4.02,5.06,2.77,1.11,1.02,0.85,0.52,0.35,0.34
161,806,51.5,17.85,10.37,3.57,3.79,4.93,2.83,1.11,1.37,0.98,0.54,0.35,0.51
